customer_id,age,tenure,plan_type,monthly_usage,engagement_score,complaints,payment_delay,usage_volatility,shock_flag,treatment_flag,discount_percent,CLV,retention_cost,churn,time_to_churn
0,56,56,basic,41.66170492499721,0.2584933225640107,2,3.5908102280453775,0.812069211310469,0,0,0,4620.829051261841,117.54369504117487,1,4.925620182222845
1,69,23,plus,38.47357409540832,0.5040688535455811,2,8.742181343996705,0.8835608831273214,0,0,0,1740.1676183855961,110.00931569897617,1,16.06805470205868
2,46,25,plus,48.70632022791806,0.10384788927771252,0,4.077588010589508,0.43371069279524166,0,1,20,2427.6430571736582,52.942947126758085,1,23.470170947992408
3,32,6,plus,60.19772620365486,0.8362605352169323,0,2.2087984359951065,0.5717683188058041,0,1,10,692.3867841050072,120.8746859260318,1,1.2262089258110822
4,60,34,basic,49.39865112691608,0.20766843230537269,0,0.6698939763417637,0.8653729257908689,0,1,10,3459.528157983071,64.68989166436165,0,24.884615340538318
5,25,63,basic,72.19262786963915,0.6371729513349387,0,4.855828824209093,0.46832596884002975,0,0,0,9070.215691217996,54.56249931737606,0,31.50147635093094
6,38,9,basic,32.36343941711891,0.990471174019081,2,2.559250713395253,0.6020477791718929,0,1,20,602.2489187754276,24.635010668124394,0,34.43889321555813
7,56,60,plus,48.550800891794154,0.134722726347282,1,0.5521926888173923,0.848625450793688,0,0,0,5811.847221577358,118.92641220258,1,23.861210990338908
8,36,49,basic,66.50990201127664,0.8451104191940286,0,0.7368283464760629,0.7911176045098195,0,1,10,6546.061332828227,88.90307576475197,0,22.582096315155137
9,40,51,basic,31.941514055345504,0.8125363821688015,3,1.4639972847323195,0.08783872421181216,0,0,0,3261.4306277263895,89.49678290939191,0,18.662651114669337
10,28,60,plus,65.60395798603632,0.31864265151815785,0,1.3234857815625816,0.07778138296971127,1,0,0,7806.174250602453,46.3885077573735,0,18.78068199946367
11,28,70,plus,50.29694009827274,0.8010438608550863,4,1.5643276745729249,0.4156591550933749,0,0,0,7063.269645384162,67.07400660748101,1,2.0520307012388477
12,41,37,basic,51.6517766354159,0.5699154783521819,1,1.5044696302422562,0.85263888594632,0,0,0,3753.985505906139,60.946131773613494,1,4.132559069758729
13,70,31,plus,44.9067029556396,0.06625249629509998,3,4.838111815417577,0.9225101405691647,0,1,30,2732.646024330807,143.60265862141262,1,12.938090533977082
14,53,41,premium,31.865551370218526,0.603430480492937,2,0.7802717624642317,0.9487276085689408,0,0,0,2517.063874762718,66.076849360456,1,23.98198220127493
15,57,62,premium,48.81786160751013,0.8299446897225989,0,0.803214344530833,0.9887729483854688,0,0,0,6083.918797652881,51.134502903761984,0,47.5047642632215
16,41,58,plus,41.66324293617048,0.30605611727459575,1,0.1595233734802123,0.5054637605817713,0,1,20,4890.401242377003,42.16651224566358,0,17.434741068749897
17,20,14,plus,72.86458625629395,0.38587381296153733,5,4.37031068758201,0.9179396777298378,0,0,0,2064.452680218013,89.00176747318098,1,16.91105322453321
18,39,36,basic,57.65633921894513,0.7294663178606516,1,2.450643595910398,0.7270703646109723,0,1,30,4124.210001784402,35.83757530329146,0,39.749747174770306
19,70,36,plus,50.5174819860092,0.17732087832399718,2,1.1518576116086696,0.4447654721069294,0,0,0,3770.7313731131726,23.47102977538402,1,0.24214554683820874
20,19,8,plus,69.76608718784883,0.5355557702278202,3,2.3607975473544656,0.9287335744716733,0,0,0,1146.7834143215214,89.36940163003607,1,10.020307380773989
21,41,26,plus,49.158317075999754,0.7344402266157288,3,4.1727222971410445,0.40676726252827333,0,0,0,2523.794047233749,96.46771802424509,1,57.08428275159871
22,61,36,plus,60.54320924241736,0.45597542034045113,0,2.2275505343571007,0.2931454839103882,0,0,0,4376.738328879999,69.98211082429759,0,54.66448540273695
23,47,48,plus,67.46317697831839,0.42282141052930666,0,2.704932430363768,0.6866381847702244,0,0,0,6494.906615146061,76.76490343471374,1,3.678416523640357
24,55,28,premium,45.91600141927258,0.9161083381535126,0,0.5902355354363332,0.12430012215196073,0,0,0,2641.173254495862,133.05858145772766,0,33.76419022366629
25,19,68,basic,56.52411825713002,0.7079887805262544,1,10.83322880416408,0.942978243175187,0,1,10,7704.597701261394,112.78646724780309,0,28.132854344333914
26,38,62,basic,43.449634950325816,0.09259839346181681,1,5.900438675103515,0.768808062063066,1,0,0,5394.807928641619,82.32109081711032,1,15.90368565293119
27,50,51,plus,67.19274594714278,0.7171362432557771,0,1.0618396782982469,0.5638461879260539,0,0,0,6901.037740406218,95.50315368014572,1,1.7338026371602369
28,29,42,basic,49.59134716509559,0.4180111457588198,1,0.20768620653532954,0.09477693414376887,0,0,0,4273.455236372725,69.39437358352191,0,20.279158558252465
29,39,29,plus,70.55929843672693,0.8135893544950833,3,2.2007334378874868,0.23478420032444758,0,1,20,4066.836327453675,46.421875817121105,0,40.191909870747445
30,61,10,basic,52.98285718673935,0.9256029856489937,1,6.517860153667503,0.5038020589445332,0,1,20,1060.2128383135018,73.93180355053309,1,0.9874419136884325
